Player,Class,Pos,Summary
Taisun Phommachanh,SR,QB,"132 Cmp, 234 Att, 1590 Yds, 8 TD"
AJ Hairston,SO,QB,"40 Cmp, 73 Att, 480 Yds, 5 TD"
Will Perry,SO,QB,"7 Cmp, 11 Att, 72 Yds, 1 TD"
Ahmad Haston,JR,QB,"8 Cmp, 9 Att, 39 Yds, 0 TD"
Ryan Jankowski,SR,QB,
Luke Lopresti,SO,QB,
CJ Hester,JR,RB,"119 Att, 529 Yds, 4.4 Avg"
Jalen John,SR,RB,"111 Att, 583 Yds, 5.3 Avg"
Brandon Campbell,SR,RB,"64 Att, 239 Yds, 3.7 Avg"
Jackson Paradis,JR,RB,"21 Att, 70 Yds, 3.3 Avg"
Cookie Desiderio,SO,RB,"8 Att, 20 Yds, 2.5 Avg"
Da'Marion Alberic,SO,RB,"1 Att, 0 Yds, 0.0 Avg"
Donta Whack,JR,RB,
Godson Ofonagoro,SO,RB,
T.Y. Harding,JR,WR,"19 Rec, 334 Yds, 17.6 Avg"
Sterling Galban,SR,WR,"25 Rec, 210 Yds, 8.4 Avg"
Jakobie Keeney-James,SR,WR,"50 Rec, 839 Yds, 16.8 Avg"
Jacquon Gibson,JR,WR,"23 Rec, 270 Yds, 11.7 Avg"
Anthony Simpson,SR,WR,"3 Rec, 16 Yds, 5.3 Avg"
Keshawn Brown,SR,WR,"2 Rec, 15 Yds, 7.5 Avg"
Kezion Dia-Johnson,SO,WR,
Dallas Elliott,JR,WR,
Frank Ladson Jr.,SR,WR,
Ott Eric Ottender,SO,WR,
Savion Robinson,SR,WR,
Sam Staruch,SR,WR,
Joe Carrara,SO,WR,
Kenyon Massey,SO,WR,
Shane Robles,JR,WR,
Dominick Mazotti,SR,TE,"18 Rec, 183 Yds, 10.2 Avg"
Matt Smith,SR,TE,"3 Rec, 38 Yds, 12.7 Avg"
Owen Anderson,JR,TE,"2 Rec, 13 Yds, 6.5 Avg"
Jaelyn Lay,SR,TE,"2 Rec, 17 Yds, 8.5 Avg"
Magnus von Saldern,JR,TE,
John Condakes,SO,TE,
Noah Staples,SR,TE,
Benjamin Roy Jr.,SR,OL,
Josh Atwood,SR,OL,
Cole Erickson,JR,OL,
Mao Glynn II,SR,OL,
Alessandro Houghton,SR,OL,
Jaxon King,JR,OL,
Ryan Mosesso,SR,OL,
Ethan Mottinger,SR,OL,
Luke Painton,SR,OL,
Brayden Rohme,SR,OL,
Paul Tchio,SR,OL,
Wyatt Terlaak,SR,OL,
Riley Bloch,SO,OL,
Tanner Burlingame,SO,OL,
William Jones,SR,OL,
Peyton Miller,SO,OL,
Brock Taylor,SO,OL,
Jacob Lurie,SR,K,
Riley Moore,JR,K,
Bennett Abbe,JR,K,
Michael Cooper,JR,K,
Tim Grant-Randall,SR,DL,
Erik Hehl,SR,DL,
Jaylen Hudson,SR,DL,
Brandon McElroy,SR,DL,
Etinosa Reuben,SR,DL,
Jermaine Wiggins Jr.,JR,DL,
Anthony Johnson,JR,DL,
Macklin Ayers,SR,LB,
Derrieon Craig,SR,LB,
Donovan Dyson,SO,LB,
RJ Edwards,SR,LB,
Rashad Henry,SO,LB,
Gerrell Johnson,SR,LB,
Tyler Martin,JR,LB,
Kyle Ott,JR,LB,
Jyree Roberts,SO,LB,
Jalen Stewart,SR,LB,
Alex Tsoumakas,JR,LB,
Myles Turner,SR,LB,
Zukodo Igwenagu,SR,LB,
Dominic Schofield,SR,LB,
Te'Rai Powell,SR,DB,
Brennen Bailey,JR,DB,
Ryan Barnes,SR,DB,
John Burton,SR,DB,
Lake Ellis,SR,DB,
Jadrian Gibbs,SO,DB,
Jalen Harrell,SR,DB,
Arsheen Jiles,SR,DB,
Christian LeBrun,SO,DB,
Jeremiah McGill,JR,DB,
Michael Pangaro,SO,DB,
Isaiah Rutherford,SR,DB,
Leonard St. Gourdin,SR,DB,
Kamren Watkins-Hunter,SR,DB,
Jashon Watkins-Perkins,SR,DB,
Keith Sarkodieh,SO,DB,
CJ Kolodziey,SR,P,
Payton Andrade,SO,DE,
Kofi Asare,JR,DE,
Aaron Beckwith,SR,DT,
Jerrod Cameron Jr.,JR,CB,
Caden Ghannam,SR,CB,
James Horton,SO,LS,
Shambre Jackson,SR,DT,
Louce Julien,SR,DE,
Jackson Marx,SR,LS,
Steven Ortiz Jr.,SR,CB,
Aquan Robinson,SR,DE,
Tyler Rudolph,SR,S,
Sahnai Swain-Price,JR,DE,
Jose Touron,SO,CB,
Jaden Wiggins,SO,DE,
Kevin Logan,SR,DE,
Tyson Watson,SR,DE,
